Cabin,Ticket,SibSp,Parch,Survived,number
,350407,0,0,0,0
,28403,0,0,0,0
,244278,0,0,0,0
,240929,0,0,1,0
,STON/O 2. 3101289,0,0,1,0
,341826,0,0,0,0
,4137,1,0,0,1
,STON/O2. 3101279,1,0,0,1
,315096,0,0,0,0
,28664,1,0,0,1
,347064,0,0,0,0
,29106,1,1,1,2
,312992,0,0,0,0
,4133,3,1,0,4
,349222,0,0,0,0
,394140,0,0,0,0
C78,19928,1,0,1,1
,239853,0,0,0,0
,STON/O 2. 3101269,0,0,1,0
,343095,0,0,0,0
,28220,1,1,1,2
,250652,0,2,1,2
,28228,0,0,0,0
,345773,0,2,0,2
,349254,0,0,0,0
,A/5. 13032,0,0,0,0
,315082,0,0,0,0
,347080,1,1,0,2
,370129,1,1,0,2
,A/4. 34244,0,0,0,0
,2003,1,0,1,1
,250655,0,0,1,0
,364851,0,0,0,0
E10,SOTON/O.Q. 392078,0,0,1,0
C52,110564,0,0,1,0
,376564,1,0,1,1
,SC/AH 3085,1,0,1,1
,STON/O 2. 3101274,0,0,0,0
E44,13507,1,0,0,1
B96 B98,113760,1,2,1,3
,W./C. 6608,2,2,0,4
,29106,2,3,1,5
C23 C25 C27,19950,1,4,0,5
,C.A. 18723,0,0,0,0
,F.C.C. 13529,1,1,1,2
,345769,0,0,0,0
,347076,1,0,0,1
,230434,0,0,1,0
,65306,0,0,1,0
A34,33638,0,2,1,2
,250644,0,1,1,1
,113794,0,0,1,0
,2666,2,1,1,3
C104,113786,0,0,1,0
,C.A. 34651,1,2,0,3
,65303,1,0,0,1
C111,113051,0,0,0,0
C92,17453,1,0,1,1
,A/5 2817,0,0,0,0
,349240,0,0,1,0
E38,13509,0,0,0,0
D21,17464,1,0,1,1
,F.C.C. 13531,0,0,1,0
,371060,0,0,0,0
E12,19952,0,0,1,0
,364506,0,0,0,0
E63,111320,0,0,0,0
,234360,0,0,0,0
,A/S 2816,0,0,0,0
,SOTON/O.Q. 3101306,0,0,0,0
,239853,0,0,0,0
,113792,0,0,0,0
,36209,0,0,0,0
,2666,2,1,1,3
,323592,0,0,0,0
,315089,0,0,0,0
,C.A. 34651,1,2,1,3
D,SC/AH Basle 541,0,0,1,0
,7553,0,0,0,0
A14,110465,0,0,0,0
,31027,1,0,0,1
,3460,1,0,0,1
,350060,0,0,0,0
,3101298,0,1,1,1
,CA 2144,5,2,0,7
,239854,0,0,0,0
,A/5 3594,0,0,0,0
,4134,0,0,1,0
B49,11967,1,0,1,1
,4133,3,1,0,4
C93,19943,1,0,1,1
B37,11771,0,0,0,0
,A.5. 18509,0,0,0,0
,C.A. 37671,1,1,1,2
,65304,1,0,0,1
,SOTON/OQ 3101317,0,0,0,0
C30,113787,0,0,0,0
,PC 17609,0,0,0,0
,A/4 45380,0,0,0,0
,2627,0,0,0,0
D20,36947,1,0,1,1
,C.A. 6212,0,0,0,0
C22 C26,113781,1,2,0,3
,350035,0,0,0,0
,315086,0,0,0,0
,364846,0,0,0,0
,330909,0,0,0,0
,4135,0,0,0,0
B79,110152,0,0,1,0
C65,PC 17758,1,0,0,1
,26360,0,2,1,2
,111427,0,0,1,0
,C 4001,0,0,0,0
,1601,0,0,1,0
,382651,0,0,1,0
,SOTON/OQ 3101316,0,0,0,0
E25,PC 17473,0,0,1,0
,PC 17603,1,0,1,1
,349209,0,0,0,0
D46,36967,0,0,0,0
F33,C.A. 34260,0,0,1,0
,371110,0,0,0,0
,226875,1,0,1,1
,349242,0,0,0,0
B73,12749,0,0,1,0
,349252,0,0,0,0
,2624,0,0,0,0
B18,111361,0,1,1,1
,2700,0,0,0,0
,367232,0,0,0,0
,W./C. 14258,0,0,1,0
C95,PC 17483,0,0,0,0
,3101296,0,0,0,0
,29104,2,1,0,3
,26360,1,1,1,2
,2641,0,0,0,0
,2690,1,1,0,2
,2668,0,2,1,2
,315084,0,0,0,0
,F.C.C. 13529,0,2,1,2
B38,113050,0,0,0,0
,PC 17761,0,0,1,0
,364498,0,0,0,0
B39,13568,0,2,1,2
B22,WE/P 5735,0,2,1,2
,347082,4,2,0,6
,347082,4,2,0,6
,2908,1,0,1,1
C86,PC 17761,1,0,0,1
,693,0,0,0,0
,2908,1,0,1,1
,SC/PARIS 2146,0,0,1,0
,363291,1,1,0,2
,C.A. 33112,1,1,1,2
C70,17421,0,2,1,2
,244358,0,0,0,0
,330979,0,0,0,0
,2620,0,0,1,0
,347085,0,0,1,0
,113807,0,0,0,0
A16,11755,1,0,1,1
,PC 17757,0,0,0,0
E67,110413,1,1,1,2
,345572,1,0,1,1
,372622,0,0,0,0
,349251,0,0,0,0
,218629,0,0,0,0
,SOTON/OQ 392082,0,0,0,0
,SOTON/O.Q. 392087,0,0,0,0
,A/4 48871,2,0,0,2
,349205,0,0,0,0
,349909,0,4,0,4
,2686,0,0,0,0
,350417,0,0,1,0
,S.W./PP 752,0,0,1,0
C101,11769,2,0,1,2
E25,PC 17474,0,0,1,0
,14312,0,0,1,0
,A/4. 20589,0,0,0,0
,358585,0,0,0,0
,243880,0,0,1,0
E44,13507,1,0,1,1
,2689,1,0,0,1
,STON/O 2. 3101286,0,0,1,0
,237789,1,1,1,2
C68,17421,1,1,1,2
,28403,0,0,0,0
A10,13049,0,0,0,0
,3411,0,0,0,0
E68,110413,0,2,1,2
,237565,0,0,0,0
B41,13567,1,1,1,2
,14973,0,0,0,0
,A./5. 3235,0,0,0,0
,STON/O 2. 3101273,0,0,0,0
D20,36947,1,0,1,1
,A/5 3902,0,0,0,0
,364848,0,2,0,2
,SC/AH 29037,1,0,0,1
,345773,1,1,0,2
,248727,0,0,1,0
,LINE,0,0,0,0
,2664,0,0,0,0
A20,PC 17485,1,0,1,1
,243847,2,1,1,3
,349214,0,0,0,0
,113796,0,0,0,0
,364511,0,0,0,0
,111426,0,0,1,0
,349910,1,0,0,1
,349246,0,0,0,0
,113804,0,0,1,0
,SC/Paris 2123,1,2,1,3
C125,PC 17582,0,0,1,0
,347082,1,5,0,6
,SOTON/O.Q. 3101305,0,0,0,0
,367230,1,0,1,1
,370377,0,0,0,0
,364512,0,0,0,0
,220845,1,2,1,3
,347080,1,1,0,2
,A/5. 3336,1,0,0,1
F4,230136,2,1,1,3
,31028,0,0,0,0
,2659,1,0,0,1
D19,11753,1,0,1,1
,2653,1,1,1,2
,350029,0,0,0,0
,54636,0,0,0,0
D50,36963,0,0,0,0
,219533,0,0,0,0
D9,13502,0,0,1,0
,349224,0,0,0,0
,334912,0,0,0,0
A23,27042,0,0,1,0
,347743,0,0,0,0
B50,13214,0,0,1,0
,112052,0,0,0,0
,347088,3,2,0,5
,237668,0,0,1,0
,STON/O 2. 3101292,0,0,0,0
,C.A. 31921,1,1,0,2
,3101295,0,5,0,5
,376564,1,0,0,1
,350050,0,0,0,0
B35,PC 17477,0,0,1,0
,347088,3,2,0,5
,1601,0,0,1,0
,2666,2,1,1,3
D33,PC 17572,1,0,1,1
,349231,0,0,0,0
A26,13213,0,0,1,0
,S.O./P.P. 751,0,0,0,0
,CA. 2314,0,0,1,0
,349221,0,0,0,0
,231919,0,1,1,1
,8475,0,0,0,0
,330919,0,0,1,0
,365226,0,0,0,0
,S.O.C. 14879,2,0,0,2
,349223,0,0,0,0
,364849,1,1,0,2
,29751,0,0,0,0
D48,35273,0,2,0,2
,PC 17611,2,0,1,2
,2623,0,0,0,0
E58,5727,0,0,0,0
,349210,0,0,0,0
,STON/O 2. 3101285,1,0,1,1
,S.O.C. 14879,2,0,0,2
,234686,0,0,0,0
,312993,0,0,0,0
,A/5 3536,0,0,0,0
C126,19996,1,0,1,1
,29750,1,1,1,2
B71,F.C. 12750,1,0,0,1
,C.A. 24580,0,0,0,0
,244270,0,0,1,0
,239856,0,0,0,0
,349912,0,0,0,0
,342826,0,0,0,0
,4138,0,0,1,0
,CA 2144,1,6,0,7
B51 B53 B55,PC 17755,0,1,1,1
,330935,0,0,0,0
D49,PC 17572,0,0,1,0
,6563,0,0,0,0
,CA 2144,5,2,0,7
,29750,1,1,0,2
,SC/Paris 2123,1,2,0,3
,3101295,4,1,0,5
,349228,0,0,0,0
,350036,0,0,0,0
B5,24160,0,1,1,1
B20,17474,1,0,1,1
,349256,0,1,1,1
,1601,0,0,1,0
,2672,0,0,0,0
,113800,0,0,0,0
,248731,0,0,0,0
,363592,0,0,0,0
,35852,0,0,1,0
C68,17421,1,1,0,2
F G63,348121,0,0,0,0
C62 C64,PC 17757,1,0,1,1
E24,PC 17475,0,0,1,0
,2691,0,1,0,1
,36864,0,0,0,0
,350025,1,0,0,1
,250655,0,0,0,0
,223596,0,0,1,0
E24,PC 17476,0,0,1,0
,113781,0,0,1,0
,2661,1,1,1,2
C90,PC 17482,0,0,1,0
C124,113028,0,0,0,0
C126,19996,1,0,1,1
,7545,0,0,0,0
,250647,0,0,0,0
F G73,348124,0,0,0,0
C45,PC 17757,0,0,1,0
E101,34218,0,0,1,0
,36568,0,0,0,0
,347062,0,0,0,0
,248727,0,1,1,1
,350048,1,0,0,1
,12233,0,0,0,0
,250643,0,0,0,0
E8,113806,1,0,1,1
,315094,0,0,0,0
,31027,3,0,1,3
,36866,0,0,1,0
,236853,1,0,0,1
,STON/O2. 3101271,1,0,0,1
B5,24160,0,0,1,0
,2699,0,0,0,0
,239855,0,0,0,0
,28425,0,0,0,0
,233639,0,0,0,0
,54636,0,0,0,0
,W./C. 6608,1,3,0,4
B101,PC 17755,0,0,1,0
,349201,0,0,0,0
,349218,0,0,0,0
D45,16988,0,0,1,0
C46,19877,1,0,0,1
B57 B59 B63 B66,PC 17608,2,2,1,4
,376566,1,0,0,1
,STON/O 2. 3101288,0,0,1,0
B22,WE/P 5735,1,1,0,2
,C.A. 2673,1,1,0,2
,250648,0,0,1,0
D30,113773,1,0,0,1
,335097,0,0,0,0
,29103,1,1,1,2
E121,392096,0,1,1,1
,345780,0,0,0,0
,349204,0,0,0,0
,220845,1,2,1,3
,250649,1,1,1,2
,350042,0,0,0,0
,29108,0,0,0,0
,363294,0,0,0,0
B77,110152,0,0,1,0
,358585,0,0,0,0
,SOTON/O2 3101272,0,0,0,0
,2663,0,0,1,0
B96 B98,113760,1,2,1,3
,347074,0,0,0,0
D11,13502,1,0,1,1
,112379,0,0,0,0
,364850,0,0,0,0
,371110,1,0,0,1
,8471,0,0,0,0
,345781,0,0,0,0
,350047,0,0,0,0
E77,S.O./P.P. 3,0,0,0,0
,2674,0,0,0,0
,29105,1,3,1,4
,347078,0,0,0,0
F38,383121,0,0,0,0
,364516,0,0,1,0
,36865,0,0,0,0
B3,24160,0,1,1,1
,2687,0,0,1,0
B20,17474,1,0,1,1
D6,113501,0,0,0,0
,W./C. 6607,1,2,0,3
,SOTON/O.Q. 3101312,0,0,0,0
,374887,0,0,0,0
,3101265,0,0,1,0
,382652,4,1,0,5
,C.A. 2315,1,2,1,3
B82 B84,PC 17593,0,0,0,0
,12460,0,0,0,0
,239865,0,0,0,0
,CA. 2343,8,2,0,10
,PC 17600,0,0,0,0
,349203,0,0,0,0
,28213,0,0,0,0
D17,17465,0,0,1,0
,349244,0,0,1,0
,2685,0,0,0,0
,345773,1,1,0,2
,250647,0,0,0,0
,C.A. 31921,1,1,1,2
B96 B98,113760,1,2,1,3
,2625,0,1,1,1
,347089,0,0,1,0
,347063,0,0,0,0
A36,112050,0,0,0,0
,347087,0,0,0,0
,248723,0,0,0,0
E8,113806,1,0,1,1
,3474,0,0,0,0
,A/4 48871,0,0,0,0
,28206,0,0,0,0
,347082,4,2,0,6
,364499,0,0,0,0
B102,112058,0,0,0,0
,STON/O2. 3101290,0,0,0,0
,S.C./PARIS 2079,1,1,0,2
,C 7075,0,0,0,0
,347088,3,2,0,5
B69,12749,1,1,1,2
,315098,0,0,1,0
,19972,0,0,0,0
E121,392096,0,1,1,1
,3101295,4,1,0,5
,368323,0,0,0,0
,1601,0,0,0,0
,S.C./PARIS 2079,0,2,1,2
,367228,0,0,1,0
B28,113572,0,0,1,0
,2659,1,0,1,1
,29106,1,1,1,2
,2671,0,0,0,0
,347468,0,0,0,0
,2223,0,0,0,0
E49,PC 17756,1,1,1,2
,315097,0,0,0,0
,392092,0,0,0,0
,1601,0,0,1,0
C47,11774,0,0,1,0
,SOTON/O2 3101287,0,0,0,0
,S.O./P.P. 3,0,0,0,0
,113798,0,0,1,0
,2683,0,0,0,0
,315090,0,0,0,0
,C.A. 5547,0,0,0,0
,CA. 2343,8,2,0,10
,349213,0,0,0,0
,248727,0,1,0,1
C92,17453,1,0,1,1
,347082,4,2,0,6
,347060,0,0,0,0
,2678,1,1,0,2
D28,PC 17592,0,1,1,1
,244252,1,0,0,1
,392091,0,1,1,1
,36928,1,1,1,2
E17,113055,0,0,1,0
,2666,0,3,1,3
,2629,0,0,0,0
,350026,2,0,0,2
,28134,1,0,0,1
D17,17466,0,0,1,0
,CA. 2343,8,2,0,10
,233866,0,0,0,0
,236852,0,0,1,0
,SC/PARIS 2149,1,0,1,1
A24,PC 17590,0,0,0,0
,345777,0,0,0,0
,347742,1,1,1,2
,349248,0,0,0,0
D35,11751,1,1,1,2
B51 B53 B55,695,0,0,0,0
,345765,0,0,0,0
,P/PP 3381,1,0,1,1
,2667,0,0,1,0
,7534,0,0,0,0
,349212,0,0,0,0
,349217,0,0,0,0
C50,11767,0,1,1,1
,230433,0,1,1,1
,349257,0,0,0,0
,7552,0,0,0,0
,C.A./SOTON 34068,0,0,0,0
,SOTON/OQ 392076,0,0,0,0
,382652,0,5,0,5
,211536,0,0,0,0
B42,112053,0,0,1,0
,W./C. 6607,1,2,0,3
C148,111369,0,0,1,0
,370376,0,0,0,0
